Branch,Job Role,Skills,Certifications,Internships,Projects
ECE,Embedded Systems Engineer,"Microcontrollers, PCB Design, Embedded C","ARM Cortex Certification, Udemy Embedded Systems","Bosch Embedded Internship, TI Embedded Systems Internship","IoT-based Smart Home System, Smart Agriculture System"
ECE,VLSI Design Engineer,"Verilog, VHDL, FPGA Design, CMOS Technology","RTL Design Certification, Cadence VLSI Training","Intel VLSI Internship, Synopsys Training Program","Low Power VLSI Circuit Design, ASIC Design Optimization"
ECE,RF Engineer,"RF Circuit Design, Antenna Design, Signal Processing","RF and Microwave Engineering (Coursera), Keysight RF Training","ISRO RF Engineering Internship, DRDO Microwave Internship","Design of a Microstrip Patch Antenna, Wireless Sensor Network for Disaster Management"
ECE,Communication Engineer,"Wireless Communication, LTE, 5G, MATLAB","5G Wireless Communication (NPTEL), MATLAB for Wireless Systems","Ericsson 5G Internship, Nokia Wireless R&D Internship","Simulation of 5G Communication System, Real-time Spectrum Monitoring System"
ECE,IoT Engineer,"IoT Protocols, Embedded C, MQTT, NodeMCU","IoT Specialization (Coursera), Cisco IoT Certification","Tata Communications IoT Internship, Texas Instruments Embedded IoT Program","Smart Traffic Management System, Industrial IoT-Based Predictive Maintenance"
ECE,Control Systems Engineer,"Control Theory, PID Controllers, MATLAB Simulink","Control Systems Engineering (Udemy), MATLAB Simulink Course","ABB Control Systems Internship, Siemens Automation Internship","PID-Based Industrial Temperature Control System, Self-Balancing Robot"
ECE,FPGA Engineer,"FPGA Programming, SystemVerilog, Xilinx Vivado","FPGA Design with VHDL (Udemy), Xilinx FPGA Training","Xilinx FPGA Internship, AMD FPGA Design Program","Image Processing using FPGA, Hardware Acceleration for AI Applications"
ECE,Automotive Electronics Engineer,"CAN Protocol, AUTOSAR, Embedded C","Automotive Embedded Systems (Udemy), AUTOSAR Training","Bosch Automotive Electronics Internship, Continental Automotive Internship","Vehicle ECU Design for Electric Vehicles, Automotive Radar-Based Collision Avoidance System"
ECE,Robotics Engineer,"ROS, Computer Vision, Motion Planning","Robotics Specialization (Coursera), ROS for Beginners","Boston Dynamics Robotics Internship, IIT Robotics Research Internship","Autonomous Delivery Robot, AI-Based Gesture Control Robot"
ECE,Signal Processing Engineer,"Digital Signal Processing, Fourier Analysis, MATLAB","DSP & Audio Processing (Udemy), MATLAB Signal Processing","Qualcomm Signal Processing Internship, Texas Instruments DSP Program","Speech Recognition System, Noise Cancellation using DSP"
ECE,Power Electronics Engineer,"Power Converters, PCB Design, MATLAB Simulink","Power Electronics and Drives (NPTEL), Texas Instruments Power Systems","Schneider Electric Power Electronics Internship, ABB Power Systems Internship","Wireless Power Transfer System, Battery Management System for EVs"
ECE,Biomedical Engineer,"Biomedical Instrumentation, Signal Processing, AI in Healthcare","Medical Electronics Certification, AI in Healthcare (Coursera)","GE Healthcare Biomedical Internship, Philips Medical Internship","ECG Signal Analysis, AI-Based Disease Prediction System"
ECE,Antenna Design Engineer,"Microwave Antennas, Electromagnetics, HFSS Simulation","Advanced Antenna Design (Udemy), CST Microwave Studio Training","ISRO Antenna Design Internship, DRDO Antenna Research Internship","Adaptive Beamforming Antenna, Smart Wearable Antenna for IoT Devices"
ECE,Embedded Systems Engineer,"Microcontrollers, PCB Design, Embedded C, RTOS","ARM Cortex Programming (Arm Education), IoT Embedded Systems (Coursera)","STMicroelectronics Embedded Internship, NXP Embedded Training Program","Smart Traffic Light System, Edge AI for Embedded Vision"
ECE,VLSI Design Engineer,"Verilog, VHDL, FPGA Design, CMOS Technology","ASIC Design Flow (Udemy), Synopsys VLSI Digital Design","GlobalFoundries VLSI Internship, Mentor Graphics VLSI Training","AI-Optimized Digital Circuit, Low-Power SRAM Design"
ECE,RF Engineer,"RF Circuit Design, Antenna Design, Signal Processing","Microwave Engineering (MIT OpenCourseWare), Wireless Communication (NPTEL)","SpaceX RF Systems Internship, Qualcomm RFIC Internship","Design of mmWave 5G Antenna, RF Energy Harvesting System"
ECE,Communication Engineer,"Wireless Communication, 5G, OFDM, MATLAB","5G Physical Layer Design (IEEE), Satellite Communication (Coursera)","NASA Satellite Communication Internship, Ericsson Telecom Research Program","Li-Fi Based Data Transmission, Wireless Communication for Disaster Recovery"
ECE,IoT Engineer,"IoT Protocols, Embedded C, Zigbee, MQTT","Industrial IoT (NPTEL), IoT Security & Privacy (Udacity)","Intel IoT Innovation Lab, IBM Watson IoT Internship","AI-Based Smart Farming, IoT-Based Water Quality Monitoring"
ECE,Control Systems Engineer,"Control Theory, PID Controllers, MATLAB Simulink","Modern Control Design (Coursera), AI for Control Systems (MIT)","Honeywell Automation Internship, Rockwell Automation R&D","AI-Driven Drone Navigation, Fuzzy Logic-Based Robotics Control"
ECE,FPGA Engineer,"FPGA Programming, SystemVerilog, Xilinx Vivado","Xilinx FPGA Hardware Acceleration (Udemy), RTL Verification (NPTEL)","NVIDIA FPGA Internship, AMD Adaptive Computing Research","AI-Based Image Processing using FPGA, Ultra-Low Latency Video Processing"
ECE,Automotive Electronics Engineer,"CAN Protocol, AUTOSAR, Model-Based Design","Automotive Safety Standards (ISO 26262) (Coursera), EV Powertrain Design (Udemy)","Tesla Automotive Embedded Internship, Bosch ADAS Internship","Self-Parking Car System, AI-Based Lane Departure Warning System"
ECE,Robotics Engineer,"ROS, Computer Vision, Kinematics, Python","Robot Operating System (ROS) (Udacity), Humanoid Robotics (MIT)","Boston Dynamics Humanoid Robotics Internship, IIT Robotics AI Lab","AI-Powered Exoskeleton, Autonomous Warehouse Sorting Robot"
ECE,Signal Processing Engineer,"Digital Signal Processing, Fourier Analysis, MATLAB","Speech and Audio Processing (IEEE), MATLAB for DSP (MathWorks)","Apple Audio Signal Processing Internship, Dolby DSP Research Program","Real-Time Speech Enhancement, AI-Based Noise Reduction for Hearing Aids"
ECE,Power Electronics Engineer,"Power Converters, Energy Systems, PCB Design","Advanced Power Electronics (Stanford Online), EV Battery Management (Coursera)","Tesla Battery R&D Internship, Siemens Power Electronics Internship","Wireless Charging System for EVs, High-Efficiency Solar Inverter Design"
ECE,Biomedical Engineer,"Biomedical Instrumentation, Wearable Sensors, AI in Healthcare","Biomedical Signal Analysis (MIT), IoT in Healthcare (Udemy)","Medtronic Healthcare Internship, GE Medical Imaging Research","AI-Based ECG Classification, Wearable Health Monitoring Device"
ECE,Antenna Design Engineer,"Microwave Antennas, Electromagnetics, HFSS Simulation","Radar and Wireless Sensor Networks (Coursera), CST Microwave Studio (Udemy)","DRDO Radar System Design Internship, Boeing Aerospace Antenna Research","Beamforming Antenna for 6G, Smart Textile-Based Wearable Antenna"
ECE,ASIC Design Engineer,"RTL Coding, Chip Verification, CMOS Circuits","ASIC Verification (Synopsys), Physical Design Flow (Cadence)","AMD ASIC Chip Design Internship, Broadcom Semiconductor Internship","AI-Assisted FPGA-to-ASIC Migration, Next-Gen Processor Design"
ECE,Cyber-Physical Systems Engineer,"IoT, AI in Embedded Systems, Security Protocols","Cyber-Physical Systems (MIT), IoT Cybersecurity (Stanford)","IBM CPS Security Internship, Cyber-Physical Research at NIST","AI-Based Predictive Maintenance for Industry 4.0, Secure Smart Grid System"
ECE,Radar Systems Engineer,"Radar Signal Processing, Waveform Design, MATLAB","Advanced Radar Systems (MIT OpenCourseWare), SAR Imaging (Udacity)","ISRO Radar Engineering Internship, Lockheed Martin Radar Systems","AI-Based Object Tracking in Radar, Drone Detection using SAR Imaging"
ECE,Embedded Systems Engineer,"ARM Cortex, RTOS, IoT Security","Embedded Systems Architecture (Coursera), ARM RTOS Development (Udemy)","STMicroelectronics Embedded Internship, Infineon IoT Training","AI-Based Smart Home Automation, Wearable Health Monitoring System"
ECE,Embedded Systems Engineer,"Microcontrollers, Firmware Development, Serial Communication","IoT Embedded Systems (Udacity), Cypress MCU Certification","Bosch Automotive Embedded Internship, NXP Embedded Bootcamp","Industrial IoT-Based Smart Factory, Edge Computing for Embedded AI"
ECE,VLSI Design Engineer,"ASIC Verification, RTL Scripting, Hardware Security","ASIC Design and Verification (IEEE), Digital VLSI Circuits (MIT)","GlobalFoundries RTL Design Internship, Cadence Physical Design Training","AI-Accelerated VLSI Circuit, Fault-Tolerant Logic Gates"
ECE,VLSI Design Engineer,"FPGA Optimization, Low Power Design, SystemVerilog","FPGA Architecture (Xilinx), RTL Optimization (Udemy)","AMD VLSI Research Internship, Intel SOC Design Internship","Reconfigurable FPGA for AI, Low-Power ALU Design"
ECE,RF Engineer,"RF Transmitters, Spectrum Analysis, mmWave Antennas","RF Circuit Design (IEEE), Microwave Theory (MIT)","Qualcomm RF Internship, Keysight RF Research Program","AI-Based Spectrum Management, Wearable RF Energy Harvesting"
ECE,RF Engineer,"Satellite Communications, RFIC Design, Radar Systems","Satellite Communication Systems (Coursera), RFIC Design Fundamentals","ISRO RF Engineering Internship, Boeing Aerospace RF Internship","Ka-Band Satellite Antenna, AI-Powered Radar Object Detection"
ECE,Communication Engineer,"5G-NR, Wireless Networks, IoT Connectivity","5G Physical Layer (Coursera), Wireless Network Security (Udemy)","Nokia 5G Research Internship, Ericsson Wireless Systems Bootcamp","AI-Based Wireless Network Optimization, Smart City Communication Network"
ECE,Communication Engineer,"Optical Fiber Systems, LPWAN, Bluetooth 5.0","Optical Fiber Communication (MIT), LPWAN and IoT (NPTEL)","Cisco Optical Networking Internship, Huawei Wireless R&D","AI-Assisted Optical Signal Processing, Li-Fi Communication System"
ECE,IoT Engineer,"MQTT, Zigbee, Blockchain in IoT","IoT Security and Privacy (Udacity), Industrial IoT (Coursera)","Intel IoT Lab Internship, IBM Watson IoT Research","Blockchain-Based Secure IoT, AI-Driven Predictive Maintenance"
